crawl 28[0.24 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/whhb/201105/t20110521_1047417.htm', 'anchor_text': u'\u897f\u85cf\u963f\u91cc\u5927\u529b\u52a0\u5f3a\u91ce\u751f\u52a8\u7269\u4fdd\u62a4', 'value': 2},  [872 urls left in queue]
crawl 29[0.42 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201202/t20120206_1585083.html', 'anchor_text': u'\u897f\u85cf\u822a\u7a7a\u5f00\u901a\u6210\u90fd\u62c9\u8428\u91cd\u5e86\u81f3\u6797\u829d\u4e09\u6761\u822a\u7ebf', 'value': 3},  [881 urls left in queue]
crawl 30[0.28 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201112/t20111219_1370148.html', 'anchor_text': u'\u201c\u897f\u85cf\u5e78\u798f\u6696\u51ac\u4e07\u91cc\u884c\u201d\u51fa\u53d1\u4eea\u5f0f\u5728\u62c9\u8428\u4e3e\u884c', 'value': 2},  [895 urls left in queue]
crawl 31[0.32 seconds used]: {'url': 'http://www.tibet.cn/news/index/xzyw/201209/t20120925_1783171.htm', 'anchor_text': u'[\u897f\u85cf\u884c]\u62c9\u8428\u624b\u673a\u4e00\u6761\u8857\u89c1\u95fb', 'value': 2},  [915 urls left in queue]
crawl 32[0.31 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/shjj/201105/t20110507_1026684.htm', 'anchor_text': u'\u897f\u85cf\u52a0\u5feb\u901a\u4fe1\u884c\u4e1a\u5efa\u8bbe \u201c\u5341\u4e8c\u4e94\u201d\u6295\u8d44\u7ea6\u8fbe100\u4ebf\u5143', 'value': 4},  [919 urls left in queue]
crawl 33[0.25 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/shjj/201011/t20101122_772220.htm', 'anchor_text': u'\u897f\u85cf\u901a\u4fe1\u4e1a\u53ec\u5f00\u201c\u5341\u4e8c\u4e94\u201d\u53d1\u5c55\u89c4\u5212\u7814\u8ba8\u4f1a', 'value': 4},  [921 urls left in queue]
crawl 34[0.30 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/shjj/201012/t20101202_777829.htm', 'anchor_text': u'\u897f\u85cf\u519c\u7267\u533a\u90ae\u653f\u901a\u4fe1\u7f51\u7edc\u4f53\u7cfb\u5efa\u8bbe\u7eaa\u5b9e', 'value': 4},  [925 urls left in queue]
crawl 35[0.27 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/shjj/201011/t20101105_766183.htm', 'anchor_text': u'\u897f\u85cf\u90ae\u653f\u4e1a\u53d1\u5c55\u52bf\u5934\u5f3a\u52b2', 'value': 4},  [927 urls left in queue]
crawl 36[0.36 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/kjtw/201007/t20100705_601552.htm', 'anchor_text': u'\u897f\u85cf\u81ea\u6cbb\u533a\u5e94\u6025\u901a\u4fe1\u4e13\u7528\u7f51\u5efa\u8bbe\u542f\u52a8', 'value': 4},  [927 urls left in queue]
crawl 37[0.31 seconds used]: {'url': 'http://www.tibet.cn/news/index/xzyw/201006/t20100620_595140.htm', 'anchor_text': u'\u62c9\u8428\u5e02\u4e0d\u65ad\u52a0\u5927\u57ce\u5e02\u9053\u8def\u4ea4\u901a\u4fe1\u606f\u5316\u5efa\u8bbe\u529b\u5ea6', 'value': 4},  [960 urls left in queue]
crawl 38[0.18 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/index.htm', 'anchor_text': u'\u8f89\u714c\u5341\u4e00\u4e94 \u897f\u85cf\u5927\u53d1\u5c55', 'value': 4},  [1040 urls left in queue]
crawl 39[0.18 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/wz/201010/t20101018_758060.htm', 'anchor_text': u'\u7b2c\u4e5d\u7ae0  \u4fc3\u8fdb\u793e\u4f1a\u4e8b\u4e1a\u5168\u9762\u53d1\u5c55\u63a8\u8fdb\u548c\u8c10\u897f\u85cf\u5efa\u8bbe', 'value': 6},  [1042 urls left in queue]
crawl 40[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757752.htm', 'anchor_text': u'\u897f\u85cf\u539f\u5219\u901a\u8fc7\u6559\u80b2\u4e8b\u4e1a\u5341\u4e00\u4e94\u89c4\u5212\u548c2020\u5e74\u8fdc\u666f\u53d1\u5c55\u76ee\u6807', 'value': 5},  [1041 urls left in queue]
crawl 41[0.20 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757729.htm', 'anchor_text': u'\u897f\u85cf\u81ea\u6cbb\u533a\u201c\u5341\u4e00\u4e94\u201d\u53d1\u5c55\u89c4\u5212\u7eb2\u8981\u89e3\u8bfb', 'value': 4},  [1039 urls left in queue]
crawl 42[0.19 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757730.htm', 'anchor_text': u'\u5168\u9762\u89e3\u8bfb\u897f\u85cf\u81ea\u6cbb\u533a\u201c\u5341\u4e00\u4e94\u201d\u53d1\u5c55\u89c4\u5212\u7eb2\u8981', 'value': 4},  [1038 urls left in queue]
crawl 43[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757893.htm', 'anchor_text': u'\u897f\u85cf\u81ea\u6cbb\u533a\u6587\u5316\u7cfb\u7edf\u7814\u8ba8\u201c\u5341\u4e00\u4e94\u201d\u53d1\u5c55', 'value': 4},  [1037 urls left in queue]
crawl 44[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757894.htm', 'anchor_text': u'\u897f\u85cf\u73af\u4fdd\u5c40\u957f\u5f20\u6c38\u6cfd\u5c55\u671b\u201c\u5341\u4e00\u4e94\u201d\u73af\u4fdd\u4e8b\u4e1a', 'value': 4},  [1036 urls left in queue]
crawl 45[0.20 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757895.htm', 'anchor_text': u'\u897f\u85cf\u81ea\u6cbb\u533a\u6587\u5316\u53d1\u5c55\u201c\u5341\u4e00\u4e94\u201d\u89c4\u5212\u89e3\u8bfb', 'value': 4},  [1035 urls left in queue]
crawl 46[0.15 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/zl/201010/t20101018_757896.htm', 'anchor_text': u'\u300a\u897f\u85cf\u81ea\u6cbb\u533a\u6797\u4e1a\u201c\u5341\u4e00\u4e94\u201d\u53d1\u5c55\u89c4\u5212\u300b\u901a\u8fc7\u8bc4\u5ba1', 'value': 4},  [1034 urls left in queue]
crawl 47[0.15 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101109_767355.htm', 'anchor_text': u'\u201c\u5341\u4e00\u4e94\u201d\u671f\u95f4\u897f\u85cf\u6797\u4e1a\u53d1\u5c55\u518d\u4e0a\u65b0\u53f0\u9636', 'value': 4},  [1034 urls left in queue]
crawl 48[0.16 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770753.htm', 'anchor_text': u'188\u9879\u201c\u5341\u4e00\u4e94\u201d\u91cd\u70b9\u5de5\u7a0b\u62c9\u52a8\u897f\u85cf\u7ecf\u6d4e\u8de8\u8d8a\u5f0f\u53d1\u5c55', 'value': 4},  [1033 urls left in queue]
crawl 49[0.16 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770756.htm', 'anchor_text': u'\u897f\u85cf\u201c\u5341\u4e00\u4e94\u201d\u519c\u6751\u516c\u8def\u5efa\u8bbe\uff1a\u83bd\u539f\u7389\u5e26\u5954\u5c0f\u5eb7', 'value': 4},  [1032 urls left in queue]
crawl 50[0.13 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770757.htm', 'anchor_text': u'\u897f\u85cf\u201c\u5341\u4e00\u4e94\u201d\u91cd\u70b9\u5de5\u7a0b\u5168\u90e8\u5f00\u5de5\u5efa\u8bbe', 'value': 4},  [1031 urls left in queue]
crawl 51[0.13 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770758.htm', 'anchor_text': u'\u201c\u5341\u4e00\u4e94\u201d\u963f\u91cc\u7ecf\u6d4e\u793e\u4f1a\u53d1\u5c55\u539a\u79ef\u8584\u53d1\u80b2\u8f89\u714c', 'value': 4},  [1030 urls left in queue]
crawl 52[0.12 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770760.htm', 'anchor_text': u'\u897f\u85cf\u201c\u5341\u4e00\u4e94\u201d\u516c\u8def\u4ea4\u901a\u8fd0\u8f93\u5de5\u4f5c\u53d1\u5c55\u7efc\u8ff0', 'value': 4},  [1029 urls left in queue]
crawl 53[0.13 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770761.htm', 'anchor_text': u'\u897f\u85cf\u81ea\u6cbb\u533a\u68ee\u6797\u516c\u5b89\u673a\u5173\u201c\u5341\u4e00\u4e94\u201d\u65f6\u671f\u6210\u7ee9\u663e\u8457', 'value': 4},  [1028 urls left in queue]
crawl 54[0.13 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770765.htm', 'anchor_text': u'\u62c9\u8428\u5e02\u201c\u5341\u4e00\u4e94\u201d\u6559\u80b2\u53d1\u5c55\u89c1\u95fb\uff1a\u6258\u8d77\u660e\u5929\u7684\u592a\u9633', 'value': 4},  [1027 urls left in queue]
crawl 55[0.13 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/cj/201011/t20101117_770766.htm', 'anchor_text': u'\u201c\u5341\u4e00\u4e94\u201d\u671f\u95f4\u897f\u85cf\u6797\u4e1a\u53d1\u5c55\u518d\u4e0a\u65b0\u53f0\u9636', 'value': 4},  [1026 urls left in queue]
crawl 56[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/wz/201010/t20101018_758022.htm', 'anchor_text': u'\u7b2c\u5341\u4e94\u7ae0  \u7ef4\u62a4\u793e\u4f1a\u5c40\u52bf\u7a33\u5b9a\u5efa\u8bbe\u5e73\u5b89\u897f\u85cf', 'value': 4},  [1025 urls left in queue]
crawl 57[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/tk/201011/t20101105_766487.htm', 'anchor_text': u'\u4e94\u661f\u7ea7\u9152\u5e97\u9f50\u805a\u96ea\u57df\u9ad8\u539f \u52a9\u63a8\u897f\u85cf\u65c5\u6e38\u8de8\u8d8a\u53d1\u5c55', 'value': 4},  [1021 urls left in queue]
